,date,fiscal_balance,velocity_bills_issued_as_percent_gdp,bills_supply_trend,value,value_trend
79,1993-10-01,-11340020787.90625,-0.17062868568899042,0.1838598141331066,5.60666666666667,6.480529604205546
80,1994-01-01,-40710363564.40625,-0.6167462860585029,0.19763478230602216,6.06666666666667,6.429451817436641
81,1994-04-01,-17309862459.875,-0.2620270840278279,0.2143938170987606,7.08333333333333,6.382514605406222
82,1994-07-01,24832401523.34375,0.3730998996462652,0.2339997314580427,7.33333333333333,6.339420322986106
83,1994-10-01,20019888167.15625,0.3017879528622193,0.2563013865036928,7.83666666666667,6.299858558521554
84,1995-01-01,65706615265.5625,0.9880879996497701,0.2811345058243949,7.48333333333333,6.263508409560246
85,1995-04-01,94742527271.21875,1.4200276357466246,0.30832253009315025,6.62,6.230040732210046
86,1995-07-01,102432932473.0625,1.5335813654443522,0.33767750904239424,6.32333333333333,6.1991203561109955
87,1995-10-01,25765007516.4375,0.38706168809713887,0.3690010278357563,5.89333333333333,6.170408257365102
88,1996-01-01,25600470030.625,0.38314278175120375,0.4020851648704833,5.91,6.143563682125559
89,1996-04-01,48925621207.0,0.7269837424459415,0.43671347804157884,6.72,6.118246213905164
90,1996-07-01,16051246905.15625,0.2380991897634014,0.4726620164957334,6.78,6.094117778021751
91,1996-10-01,32453853235.90625,0.47913819642193295,0.5097003549001602,6.34333333333333,6.070844576956614
92,1997-01-01,18344752806.625,0.27107373081856256,0.5475926472484818,6.56333333333333,6.048098950759925
93,1997-04-01,48658606797.96875,0.7137386646980364,0.5860986972228368,6.69666666666667,6.025561156995314
94,1997-07-01,47586045476.71875,0.6950460127242268,0.6249750421284118,6.24333333333333,6.002921065073819
95,1997-10-01,49274252109.3125,0.7164848997640882,0.6639760474136407,5.90666666666667,5.979879760185551
96,1998-01-01,29646100753.40625,0.43095453778264114,0.7028550087863301,5.58666666666667,5.956151052395502
97,1998-04-01,69079209046.53125,0.9941319489102527,0.7413652589330116,5.59666666666667,5.931462886828009
98,1998-07-01,70247167193.4375,1.004428740376229,0.7792612758458575,5.20333333333333,5.905558651222505
99,1998-10-01,69113176594.875,0.9824998546293434,0.8162997897585028,4.67,5.878198377501282
100,1999-01-01,72776926198.6875,1.0279378071158747,0.852240885689185,4.98333333333333,5.84915983434806
101,1999-04-01,25719232628.8125,0.36170386683586064,0.886849098586611,5.54,5.818239508154305
102,1999-07-01,56985139410.0625,0.7948253133064243,0.9198944980710038,5.88333333333333,5.78525347004828
103,1999-10-01,97287935420.96875,1.3424594632243598,0.9511537597598221,6.14,5.750038127079961
104,2000-01-01,67995210205.375,0.9379364451106887,0.9804112201646631,6.48,5.712450855992988
105,2000-04-01,108834276685.3125,1.489545698013217,1.0074599121428898,6.17666666666667,5.672370518373001
106,2000-07-01,94489633947.34375,1.291190388321352,1.0321025778845707,5.89333333333333,5.62969785631972
107,2000-10-01,137083519017.0625,1.8613075757372908,1.0541526564123354,5.56666666666667,5.584355768148275
108,2001-01-01,142396091553.34375,1.911690965212321,1.07343524256878,5.05,5.536289463983403
109,2001-04-01,135139637675.40625,1.791108642699795,1.0897880144631042,5.27,5.485466501468163
110,2001-07-01,-15614047039.625,-0.20628384263865515,1.1030621263456746,4.98,5.431876702166988
111,2001-10-01,-61375597317.5625,-0.8030718045251638,1.1131230638762455,4.77,5.375531949600956
112,2002-01-01,4566017753.1875,0.05911265935650056,1.1198514587486077,5.07666666666667,5.316465870211242
113,2002-04-01,-96239801856.65625,-1.239428658038759,1.123143859631455,5.1,5.254733398904846
114,2002-07-01,4564077010.5625,0.058532045882495116,1.1229134563822938,4.26,5.1904102311947815
115,2002-10-01,58859215801.3125,0.7505900474554892,1.1190907544882573,4.00666666666667,5.12359216430498
116,2003-01-01,47357837369.25,0.602353136827918,1.1116241966847085,3.92,5.054394329968284
117,2003-04-01,25317165734.625,0.32004367447476073,1.1004807286995513,3.62,4.982950322004019
118,2003-07-01,218245341595.5625,2.745155882094314,1.085646306068203,4.23333333333333,4.909411222119684
119,2003-10-01,74062859181.5,0.9259846771553929,1.0671263389612027,4.28666666666667,4.833944527739426
120,2004-01-01,53096131277.6875,0.6605104091617748,1.0449460719634787,4.02,4.756732986020081
