,date,fiscal_balance,velocity_supply_as_percent_gdp,supply_to_gdp_percent,consumer_approval,consumer_disapproval,consumer_ambivalent,money_supply_trend,approval_trend,value,value_trend
33,1982-04-01,1776156277.2940063,4.796247015760534,155.46493084027185,18.1,43.81,38.1,4.12665998059337,16.358866396740876,13.9466666666667,12.387380857778524
34,1982-07-01,1768680891.0962982,4.6386160036329365,155.62959790559665,17.14,40.95,41.9,4.050828331523391,16.131056506024027,12.3566666666667,12.327230090966717
35,1982-10-01,1334902220.5496979,3.4563243403340596,157.10127466502715,19.05,47.14,33.81,3.9809228077075423,15.918869123086042,11.0233333333333,12.265270613071142
36,1983-01-01,1393076579.4208984,3.5301546002075983,157.2866278751007,19.05,43.81,37.14,3.9165166798628426,15.72141234658643,11.68,12.201510856901708
37,1983-04-01,1896483214.8860016,4.625774740766068,156.01973304796238,16.19,44.76,39.05,3.8571683939359556,15.53772727389805,11.07,12.135962384718532
38,1983-07-01,1491396935.1503983,3.579096373326977,157.08468801302826,18.1,41.9,40.0,3.8024274017131185,15.366803738174257,11.5,12.068639664762856
39,1983-10-01,1138265317.5000992,2.7060122419377586,158.31689311485755,15.24,50.48,34.29,3.751839488608266,15.207594851297145,10.8233333333333,11.999559868091376
40,1984-01-01,1298359466.6891022,3.0249235347745445,158.1780233314374,15.71,52.86,31.43,3.7049516191801626,15.059030397487874,10.7666666666667,11.928742684467831
41,1984-04-01,854486128.4164047,1.982195232976622,159.47767820680974,15.24,46.19,38.57,3.6613163205820713,14.920029121654146,11.2733333333333,11.856210156095669
42,1984-07-01,1574598140.7881012,3.5334331046953187,157.80490853093224,14.29,43.81,41.9,3.6204956238002586,14.789509955844121,11.57,11.78198652800569
43,1984-10-01,1511143729.5106964,3.3196800269265303,157.8037919675614,13.33,51.9,34.76,3.582064582190286,14.666402226470119,10.9,11.706098113942609
44,1985-01-01,1388999201.722702,3.0001110288861885,158.15387439625556,12.38,46.19,41.43,3.5456143864728613,14.549654884259656,11.3933333333333,11.628573176624425
45,1985-04-01,1028517109.3643951,2.205080035137389,159.18978488402462,13.81,49.05,37.14,3.5107550950036748,14.438244798185448,11.11,11.549441821278602
46,1985-07-01,990363833.5424042,2.099682157944698,159.520130469916,10.95,49.52,39.52,3.477117997784406,14.331184153920152,10.7133333333333,11.46873590138906
47,1985-10-01,1044262673.4223022,2.1835086224406797,159.5100035586958,12.38,49.52,38.1,3.4443576323348113,14.2275269966558,10.6633333333333,11.386488935617962
48,1986-01-01,962111051.5826874,1.9898241818501194,159.76267366591986,9.52,44.29,46.19,3.4121534691985476,14.12637495742197,10.5166666666667,11.302736034896398
49,1986-04-01,1353775511.5983124,2.736574117874801,158.88815309436438,12.38,52.38,35.24,3.3802112845080585,14.02688220133087,9.18,11.217513838707994
50,1986-07-01,1646662457.8427887,3.244361276238311,158.11018276210737,12.38,47.62,40.0,3.3482642366866617,13.92825963547167,9.85,11.130860459619608
51,1986-10-01,1339964169.3067017,2.606890344133243,158.72913749089082,11.9,50.48,37.62,3.3160736640186332,13.829778413470573,10.9933333333333,11.042815435143194
52,1987-01-01,1339809487.8955078,2.5666758823483553,158.86526554708905,10.0,48.57,41.43,3.28342961947084,13.73077277302717,9.78333333333333,10.953419686043038
