,date,fiscal_balance,velocity_bills_issued_as_percent_gdp,bills_supply_trend,value,value_trend
41,1984-04-01,-5.582648704563924e+31,70.5567996847474,-50.16410534234955,11.2733333333333,11.856183003378181
42,1984-07-01,9.006013982784093e+31,-120.170349928904,-51.475396633040944,11.57,11.781724801425053
43,1984-10-01,2.2222314577702988e+33,326.62307045812315,-52.31874853705358,10.9,11.705607457216926
44,1985-01-01,5.21448581958229e+33,265.80394403554146,-52.7391437027165,11.3933333333333,11.627861783107516
45,1985-04-01,1.2026164033306144e+34,251.39615189950155,-52.78210861434699,11.11,11.548520239682876
46,1985-07-01,4.764531762507264e+33,-46.522355076405624,-52.49322224967476,10.7133333333333,11.467616829635183
47,1985-10-01,1.2865821223148261e+34,-99.11018674969355,-51.91767111714839,10.6633333333333,11.38518700532445
48,1986-01-01,4.590673383436562e+35,-472.98223951211105,-51.0998486510424,10.5166666666667,11.301267588875387
49,1986-04-01,6.447067766362908e+36,461.1410160859686,-50.08299697869388,9.18,11.215896703689701
50,1986-07-01,-1.0186253593099812e+36,-55.54870431554867,-48.90888911061257,9.85,11.129113716287492
51,1986-10-01,6.34738581510645e+36,198.82633149886254,-47.61754964062063,10.9933333333333,11.040959187424534
52,1987-01-01,1.6155162455379232e+37,-165.47902720432438,-46.24701207959001,9.78333333333333,10.951474831465546
53,1987-04-01,1.7253604504675793e+38,-414.24675248849434,-44.83311098276121,8.95666666666667,10.860703483026693
54,1987-07-01,1.0389042567517329e+39,378.4667872302953,-43.409307067037105,9.87666666666667,10.768689069933894
55,1987-10-01,-2.1393706175465825e+38,-61.02611236057104,-42.00654355106026,9.66666666666666,10.675476591576682
56,1988-01-01,9.030230969520172e+39,431.70359459284066,-40.653131987295524,9.48333333333334,10.581112101770593
57,1988-04-01,-2.208789247914526e+39,-91.94585793601208,-39.37466589175041,9.37333333333333,10.485642695274322
58,1988-07-01,9.55069248735239e+40,-414.8512436316631,-38.19396051338208,9.95,10.389116497141101
59,1988-10-01,3.607441915559568e+42,500.60355927169456,-37.13101712164928,9.89666666666667,10.291582654116981
60,1989-01-01,5.910463928696342e+45,-528.4470794067526,-36.20301022708332,9.85333333333333,10.193091327331945
61,1989-04-01,1.5286357154886063e+45,-125.0680346564865,-35.424296186163645,10.3,10.093693685563006
62,1989-07-01,2.3808943773119093e+45,-173.01904415641513,-34.80644167819705,10.09,9.993441898381654
63,1989-10-01,1.1639545671911662e+46,178.24845486247727,-34.358270578312194,10.52,9.89238912853131
64,1990-01-01,2.7458690418840956e+46,187.81021050360354,-34.08592778709501,11.5466666666667,9.79058952291359
65,1990-04-01,4.0420968905591427e+46,156.7639089149131,-33.99295861380226,12.3166666666667,9.688098201595492
66,1990-07-01,-1.868937512389739e+47,-87.19528412044804,-34.08040234650446,12.03,9.584971244282805
67,1990-10-01,3.899277697830897e+47,-213.34349858800832,-34.34689867892212,11.3166666666667,9.48126567373829
